document_id,clean_text,sentiment
49,the original book of this was set in the s but that wont do for the tv series because most people watch for the s style ironically the tube train near the end was a s train painted to look like a s train so the underground can play at that game too hanging the storyline on a plot about the jarrow march was feeble but the s version had students who were beginning to think about the world around them so i suppose making them think about the poverty of the marchers is much the same thing all the stuff about japp having to cater for himself was weak too but they had to put something in to fill the time this would have made a decent half hour show or they could have filmed the book and made it a better long show it is obvious this episode is a victim of style over content,neutral
50,the annoying mouse and lullaby really got to me and really had nothing to do with the storyits something i would have done my st year in film school very sad additionally the story just seemed to drag on for no apparent reasonthere were too many things just thrown in there that had nothing to do with the story which makes me feel that the creative team didnt really know what they were doing or just that it should have been shorterwhich would have been a blessing not a crime as i have just watched all of the episodes up to this point over the past weekid have to say that this was by far the worst and i just wanted to warn others not to start with this one,neutral
51,i saw this film opening weekend in australia anticipating with an excellent cast of ledger edgerton bloom watts and rush that the definitive story of ned kelly would unfold before me unfortunately despite an outstanding performance by heath ledger in the lead role the plot was paper thinwhich doesnt inspire me to read our sunshine there were some other plus points the support acting from edgerton in particular assured direction from jordan confirming his talent on show in buffalo soldiers as well and production design that gave a real feel of harshness to the australian bush much as the irish immigrants of the early th century must have seen it but i cant help feeling that another opportunity has been missed to tell the real story of an australian folk hero or was hein what i suspect is a concession to hollywood and selling the picture in the us oh well at least jordan and the producers didnt agree to lose the beards just to please universalguess i will just have to content myself with peter careys excellent secret history of the kelly gang,positive
52,i saw this at the premiere in melbourneit is shallow twodimensional unaffecting and hard to believe given the subject matter boring the actors are passable but they didnt have much to work with given the very plodding and unimpressive script for those who might have worried that ned kelly would be overintellectualised you can take comfort in the fact that this telling of the story is utterly without any literary depth at all told entirely on the surface and full of central casting standards however it doesnt work as a popcorn film either its pacing is too offkilter and its craft is too lacking to satisfy even on the level of a mundane actioneri very much doubt gregor jordan could sit back and say to himself this is the best i could have done with the materialned kelly is a fascinating figure and equally so is the national response to him possibly folk genius possibly class warrior possibly psychopath and probably all these things he has dominated australian true mythology for over years once again his story has failed miserably on the big screensuch is life,neutral
53,ned kelly ledger the infamous australian outlaw and legend sort of like robin hood with a mix of billy the kid australians love the legend of how he stood up against the english aristocratic oppression and united the lower classes to change australia forever the fact that the lower classes of the time were around immigrant criminals seems to be casually skimmed around by this film indeed quite a few so called facts in this film are on reflection a tad dubiousi suppose the suspicions should have been aroused when in the opening credits it was claimed that this film is based upon the book our sunshine if ever a romanticized version of truth could be seen in a name for a book there it was this wasnt going to be a historical epic but just an adaptation of one of many dubious legends of ned kelly albeit a harsh and sporadically brutal versionunfortunately ned kelly is nothing more than an overblown hallmark channel real life historical drama wannabe the story plods along at an alarming rate alarming because never has a film plodded so slowly the feeling of numbness after the two hours of pure drivel brought back memories of costners awful wyatt earp all those years ago simply put nothing happens in the film but it takes a long time getting to that nothing this would possibly have been a tad more bearable if the performances were good because the direction sure as heck wasnt however unless you are looking to play a game of spot the worst oirish accent then youre gonna be disappointed between that the game of who has the stupidest beard spot the obvious backstabber clue they are all ginger for some reason and nature in australiaincluding lions it is an experience similar to flicking through hallmark the history channel discovery channel and neighbours whilst suffering a huge hangover yup nature pops up a lot as to fill even more time possibly an attempt to look arty the film keeps showing pointless wildlife shots and once all the native species are shown heres a circus to allow for a camel and a lion which is used during one fight to try to make us actually feel more sorry for the lion than the massacred peoplethis is a turgid emotionless piece of historical fluff which should have gone straight to tv there isnt even one good word i can say about this film even the usually fantastic rush seems embarrassed to be here when one of the characters comments that there is only bullets left for him and his pal i myself was wishing i had a gun to blow any memory of this film out of my head,neutral
54,they constructed this one as a kind of fantasy man from snowy river meets butch cassidy and the sundance kid and just for a romantic touch ned and joe get to play away with high class talent the bored young wives of wealthy older men ok there are lots of myths about ned kelly but there are also a lot of well documented facts still leaving space for artistic creativity in producing a good historical dramaticisation i mean this is not the robin hood story not the arthurian legends not beowulf not someone whose life is so shrouded in the mists of many many centuries past that any recreation of their life and times is guesswork its only a couple of lifetimes ago my own grandparents were already of school age when ned was hanged so its silly me for fancifully imagining this movie was a serious attempt to tell the kelly story having recently read peter careys excellent novel the true history of the kelly gang i had eagerly anticipated that this would be in similar vein but no the fact is that mick jaggers much derided kelly was probably far closer to reality and a better movie overall which isnt saying a whole lot for itglad it only cost me two bucks to hire the dvd ill give it and thats only because some of the nice shots of the australian bush make me feel generous,positive
55,this has to be the worst piece of garbage ive seen in a whileheath ledger is a heartthrob he looked deformed i wish id known that he and naomi watts are an item in real life because i spent of the longest hours of my life wondering what she saw in him orlando bloom is a heartthrob with the scraggly beard and deerintheheadlights look about him i cant say i agreerachel griffiths was her usual fabulous self but geoffrey rush looked as if he couldnt wait to get off the set im supposed to feel sorry for bankrobbers and murderers this is a far cry from butch cassidy which actually was an entertaining film this was trite clicheridden and boring we only stayed because we were convinced it would get better it didntthe last minutes or so were unintentionally hilarious heath and his gang are holed up in a frontier hotel and women and children are dying because of their presence thats not funny but it was funny when they walked out of the hotel with the armor on because all we could think of was the black knight from monty python and the holy grail i kept waiting for them to say ill bite yer leg off we were howling with laughter as were several other warped members of the audience when we left pretty much everyone was talking about what a waste of time this film wasi may not have paid cash to see this disaster sneak preview but it certainly wasnt free it cost me hours of my life that i will never get back,neutral
56,if the term itself were not geographically and semantically meaningless one might well refer to ned kelly as an australian western for the people down under ned kelly was apparently a folk hero bandit akin to robin hood jesse james bonnie and clyde and butch cassidy and the sundance kid the descendant of irish immigrants kelly became a fugitive and an outlaw after he was falsely accused of shooting an australian law officer a crime for which his equally innocent mother was put into prison to get back at the government for this mistreatment kelly his brother dan and two other companions became notorious bank robbers winning over the hearts of many people in the countryside while striking a blow for justice in a land where irish immigrants were often treated with disrespect and disdain by those who ran the countryperhaps because weve encountered this gentleman bandit scenario so many times in the past ned kelly feels awfully familiar and unoriginal as it pays homage to any number of the genres stereotypes and clichs on its way to the inevitable showdown ned is the typical heartofgold lawbreaker who kills only when he is forced to and even then only with the deepest regret he also has the pulse of the common folk as when in the middle of a bank robbery he returns a valuable watch to one of the customers after one of his gang has so inconsiderately pilfered it what movie on this particular subject hasnt featured a scene like that its acts of selective generosity like this of course that earn him the love and respect of all the little people who come to secretly admire anyone who can get away with sticking it to the powersthatbe and the status quo geoffrey rush plays the typical bedeviled law enforcer who feels a personal stake in bringing down this upstart troublemaker who keeps getting away with tweaking the establishment theres even the inevitable episode in which one of the ladies being held up goes into the next room and has sex with one of the robbers so turned on is she by the romantic derringdo of the criminal lifestyle and the film is riddled with one hackneyed scene like this after anotherheath ledger fails to distinguish himself in the title role providing little in the way of substance to make his character either interesting or engaging it doesnt help that he has been forced to provide a droning voiceover narration that underlines the sanctimoniousness and pretentiousness of both the character and the filmned kelly might serve a function of sorts as a lesson in australian history but as an entertainment its just the same old story told with different accents,neutral
57,this movie was so unrelentingly bad i could hardly believe i was watching it the directing editing production and script all seemed as though they had been done by junior high school students who dont know all that much about movies there was no narrative flow that made any sort of sense big emotional moments and climaxes like one early on between heath ledger and naomi watts and character relationships like one hinted at at the very beginning come completely out of no where and are not set up like they would have been in a more elegantly and effectively made film the characters are sadly underdeveloped making it difficult for us to have any sort of connection with them the acting surprisingly is not entirely bad but the terrible writing cancels out the relatively convincing performances the film plays like a particularly bad tv westernepic and sadly diminishes the fascinating true story that it attempts to tell i have read a lot of reviews that defend the film as being important to australians because of the subject matter thats all very well but just because ned kelly is an important australian historical icon doesnt make the movie good no one is saying that the subject matter isnt good just the quality of the movie itself pearl harbor was about a very important historical event to americans but that doesnt mean im going to defend the movie and say it was good because it was still bad a failure all around though heath and orlando are lovely to look at,neutral
58,this movie never made it to theaters in our area so when it became available on dvd i was one of the first to rent it for once i should listened to the critics and passed on this onedespite the excellent line up of actors the movie was very disappointing i can see now why it went straight to video i had thought that with bloom ledger and rush it could have some value all have done wonderful work in the past the movie was slow moving and never pulled me in i failed to develop much empathy for the characters and had to fight the urge to fastforward just to get to the end i do not recommend this film even if you are thinking of renting it for only for eye candy purposes it wont satisfy even that,positive
59,i thought this was a very clunky uninvolving version of a famous australian story heath ledger and orlando bloom were very good in their roles and gave their characters some personality but the whole thing felt forced and mechanicalthe beginning could have been a lot more involving perhaps starting with a shootout and then flashing back for a recap of how they got there or that sort of thing and i felt like every scene was routinely predictable and signposted like a very bad tv soapi was really looking forward to this movie and hoping for something a lot better the only thing i can say in its favour is that it beats the mick jagger version but not by much,positive
60,ned akelly is such an important story to australians but this movie is awful its an australian story yet it seems like it was set in america also ned was an australian yet he has an irish accentit is the worst film i have seen in a long time,negative
61,from the very beginning the political theme of this film is so obvious and heavy handed that the outcome is entirely predictable any good textbook on writing screenplays will advise layering of characters incorporating character arcs and three act structure in this film you will find none of that the police are the baddies and consequently are shown as shallow incompetent and cowards it never seems to occur to the makers of this film that police might be honourable citizens who see joining the police as a good way to contribute to the wellbeing of societythe viewer gets no opportunity to make up his or her mind on whether ned kelly is a good guy or a ruthless villain the film opens with him being arrested for stealing a horse but we get no clue as to his guilt or innocence we see him walk through the door of a gaol but only know that he has been inside for three years when we hear this much later in some dialoguethis film contains many shots of ned looking at the camera with a serious expression i found the film a real chore to watch it is the direction for modern films and this one put me off watching any more,neutral
62,i guess i was attracted to this film both because of the sound of the story and the leading actor so i gave it a chance from director gregor jordan buffalo soldiers basically ned kelly heath ledger is set up by the police especially superintendent francis hare geoffrey rush he is forced to go on the run forming a gang and go against them to clear his own and his familys names thats really all i can say about the story as i wasnt paying the fullest attention to be honest also starring orlando bloom as joseph byrne naomi watts as julia cook laurence kinlan as dan kelly philip barantini as steve hart joel edgerton as aaron sherritt kiri paramore as constable fitzpatrick kerry condon as kate kelly emily browning as grace kelly and rachel griffiths as susan scott ledger makes a pretty good performance for what its worth and the film does have its eyecatching moments particularly with a gun battle towards the end but i cant say i enjoyed it as i didnt look at it all okay,positive
63,i dont quite get the rating for the amati girls and i think i was really kind giving it a out of what could otherwise have been a wonderful story with actually a set of more or less decent actors became a total farce in my eyes there are so many clichs in that flick the womens hair is just awful and most of the scenes are more than unrealistic or seem fake theres no real passion in this movie but a bunch of actors overacting over any limits that it hurts its not funny enough to be a comedy its too fakesad to really touch so in my eyes its just not good watching it i couldnt believe how something like that made it to my tv set in my living room in switzerland but maybe it still was ok and it just got lost in translation who knows definitely one of the oddest movies ive ever seen and this certainly not in a good way sorry,neutral
64,this movie was awful the ending was absolutely horrible there was no plot to the movie whatsoever the only thing that was decent about the movie was the acting done by robert duvall and james earl jones their performances were excellent the only problem was that the movie did not do their acting performances any justice if the script would have come close to capturing a halfway decent story it would be worth watching instead robert duvalls and james earl jones performances are completely wasted on a god awful storylineor lack thereof not only was i left waiting throughout the movie for something to happen to make the moviewell an actual movienot just utterless dialog between characters for what ended up being absolutely no reason it was nothing more than common dialog that would have taken place back in that period of time there was nothing special about any of the characters the only thing special was how robert duvall portrayed a rambling senile drunk old man nothing worthy happens during the entire movie including the end when the movie ended i sat amazedamazed that i sat through the entire movie waiting for something of interest to happen to make watching the movie worth while it never happened the cast of characters suddenly started rolling making it apparent that the movie really was over and i realized that i had just wasted hours of my life watching a movie with absolutely no plot and no meaning it wasnt even a story the entire movie takes place in a days worth of time thats it it was one day in the life and death of some southerners on a plantation how much of a story can take place in a single day other than the movie training day the acting performances by the entire cast were excellent but they were grossly wasted on such a disappointment of a movieif you can even call it a movie,neutral
65,holy crap this was the worst film i have seen in a long time all the performances are fine but there is no plot really no plot a bunch of clowns talk about this and that and thats your film ug robert duvalls character is senile and keeps asking the same people the same qestions over and over this earns him the same responses over and over i am pretty sure this film got upto a six because people think they should like it good performances with famous and well regarded actors but the actual complete work is a steamy turd well maybe thats a bit deceptive since steam rising from a fresh pile sounds a little like something happening and in this film nothing happens sack,neutral
66,swing is an important film because its one of the remaining blackproduced and acted films from the s many of these films have simply deteriorated so badly that they are unwatchable but this one is in fairly good shape its also a nice chance to see many of the talented black performers of the period just after the heyday of the old cotton cluba time all but forgotten todayunfortunately while the film is historically important and has some lovely performances its also a mess the main plot is very similar to the hollywood musicals of the eraincluding a prima donna who is going to ruin the show and the surprise unknown who appears from no where to save the day however the writing is just godawful and a bit trashy at timesand projects images of black america that some might find a bit demeaning this is because before the plot really gets going you are treated to a noaccount bum who lives off his hard working wife a popular stereotype of the time and when he is caught with a hussy who by the way totally overplays this role they have a fight which looks like a scene from wwe smackdown and the one lady wants to cut the other lady with a straight razora trashy scene indeed later in the film when the prima donna is behaving abominably her husband punches her in the face and everyone applauds him it seems like the film at times wants to appeal to the lowest common denominator in the audience plus they cant even do this wellwith some of the worst acting ive seen in a very long timestill if you can look past a lousy production in just about every way with trashy characters bad acting and direction and poor writing this one might be worth a peek so you can see excellent singing and tap dancingas well as to catch a glimpse of forgotten black culture just dont say i didnt warn you about the actingits really really bad,neutral
67,theres not a drop of sunshine in the sunshine boys which makes the title of this alleged comedy neil simons sole ironic moment simon who adapted the script from his play which goes uncredited equates old age with irrational behaviorand worse clumsy galumphing meanspirited irrational behavior walter matthau is merciless on us playing an aged vaudeville performer talked into reuniting with former comedy partner george burns for a television special its said they were a team for years which begs the question how long did vaudeville last anyway burns who won a supporting oscar has the misfortune of coming to the film some thirty minutes in after which time matthau has already blasted the material to hell and back the noisier the movie gets the less tolerable and watchable it is director herbert ross only did solid work when he wasnt coupled with one of neil simons screenplays here ross sets up gags like a thudding amateur hammering away at belligerent routines which fail to pay off such as semiincoherent matthau showing up at a mechanics garage to audition for a tv commercial at this point matthau was still too young for this role and he overcompensates by slouching and hollering it was up to ross and simon to tone down the character to nuance his temperament to give the sunshine boys some sunniness yet walter continues to project as if wed all gone deaf the picture looks terribly drab and crawls along at a spiritless pace one loses hope for it early on from,negative
68,i like goldie hawn and wanted another one of her films so when i saw protocol for at walmart i purchased it although mildly amusing the film never really hits it a stride some scenes such as a party scene in a bar just goes on for too long and really has no purposethen of course there is the preachy scene at the end of the film which gives the whole film a bad taste as far as im concerned i dont think this scene added to the movie at all i dont like stupid comedies trying to teach me a lesson written by some s burn out especiallyin the end although im glad to possess another hawn movie im not sure it was really worth the money i paid for it,neutral
69,protocol is an implausible movie whose only saving grace is that it stars goldie hawn along with a good cast of supporting actors the story revolves around a ditzy cocktail waitress who becomes famous after inadvertently saving the life of an arab dignitary the story goes downhill halfway through the movie and goldies charm just doesnt save this movie unless you are a goldie hawn fan dont go out of your way to see this film,positive
70,when an attempt is made to assassinate the emir of ohtar an arab potentate visiting washington dc his life is saved by a cocktail waitress named sunny davis sunny becomes a national heroine and media celebrity and as a reward is offered a job working for the protocol section of the united states department of state unknown to her however the state department officials who offer her the job have a hidden agendaa map we see shows ohtar lying on the borders of saudi arabia and south yemen in an area of barren desert known as the rub alkhali or empty quarter in real life a state in this location would have a population of virtually zero and virtually zero strategic value but for the purposes of the film we have to accept that ohtar is of immense strategic importance in the cold war and that the american government who are keen to build a military base there need to do all that they can in order to keep on the good side of its ruler it transpires that the emir has taken a fancy to the attractive young woman who saved him and he has reached a deal with the state department they can have their base provided that he can have sunny as the latest addition to his harem sunnys new job is just a ruse to ensure that the emir has further opportunities to meet hera plot like this could have been the occasion for some hilarious satire but in fact the films satirical content is rather toned down possibly in the american public were not in the mood for trenchant satire on their countrys foreign policy this was after all the year in which ronald reagan carried fortynine out of fifty states in the presidential election and his hard line with the soviet union was clearly going down well with the voters if the film had been made a couple of years later in the wake of the irancontra affair its tone might have been differentthe film is not so much a satire as a vehicle for goldie hawn to show off her brand of cuteness and charm sunny is a typical goldie character pretty sweetnatured naive and not too bright there is however a limit to how far you can go with cuteness and charm alone and you cannot automatically make a bad film a good one just by making the leading character a dumb blonde actually that sounds more like a recipe for making a good film a bad one goldie tries her best to save this one but never succeeds part of the reason is the inconsistent way in which her character is portrayed on the one hand sunny is a sweet innocent country girl from oregon on the other hand she is a yearold woman who works in a sleazy bar and wears a revealing costume the effect is rather like imagining rebecca of sunnybrook farm grown up and working as a bunny girlthe more important reason why goldie is unable to rescue this film is even the best comedian or comedienne is no better than hisher material and protocol is simply unfunny whatever humour exists is tired and strained relying on offensive stereotypes about arab men who apparently all lust after western women particularly if they are blonde and blueeyed there was a lot of this sort of thing about in the mideighties as this was the period which also saw the awful ben kingsley nastassia kinski film harem about a lascivious middle eastern ruler who kidnaps a young american woman and the miniseries of the same name which told a virtually identical story with a period setting the filmmakers seem to have realised that their film would not work as a pure comedy because towards the end it turns into a sort of latterday mr smith goes to washington sunny turns from a blonde bimbo into a fount of political wisdom and starts uttering all sorts of platitudes about democracy and the constitution and the citizens duty to vote and we the people and how the price of liberty is eternal vigilance blah blah blah but in truth the film is no more successful as a political parable than it is as a comedygoldie hawn has made a number of good comedies such as cactus flower overboard and housesitter but protocol is not one of them i have not seen all of her films but of those i have seen this dire comedy is by far the worst,neutral
71,what does the executive producer do in a movie if i remember correctly its the person who raised the financial backing to make the movie you might notice in a great number of movies starring sean connery that he is also the executive producer which meant connery himself raised the money since he is a major player unfortunately it should also be pointed out that a great number of movies starring sean connery were solely made because he managed to raise the money since hes a major hollywood player its usually an indication that when the credits read that the executive producer and the star of the movie are one and the same the movie itself is nothing more than a star vehicle with the storyscreenplay not being up to scratch protocol follows the saga of one sunny davis a kooky bimboesque cocktail waitress who saves a visiting dignitary and as a reward gets made a top diplomat likely as things progress ms davis who has problems being able to string two sentences together finds herself in more outlandish and less likely situations when i say that protocol stars goldie hawn who is also the films executive producer do you understand what im saying about the storyscreenplay not being up to scratch exactly,positive
72,outlandish premise that rates low on plausibility and unfortunately also struggles feebly to raise laughs or interest only hawns wellknown charm allows it to skate by on very thin ice goldies gotta be a contender for an actress whos done so much in her career with very little quality material at her disposal,negative
73,there are only two movies i would give a to this stinker and the man who fell to earth i remember seeing protocol at a theater in the early s when i was in high school the script is insulting to anyone including a high school students intelligence it completely lost me with the hillarious gag of someone getting shot in the butt goldie hawn is supposed to be charming but comes across as vapid and moronic then there are offensive stereotypes about arabs followed by goldie winning over everyone by spouting populist dribble the acting was terrible including goldie hawns i could not stand to see another movie she was in until imo she redeemed herself in everyone says i love you this is the kind of movie you make if you want to put no effort into screenplay writing the worst,neutral
74,the only good thing about this movie was the shot of goldie hawn standing in her little french cut bikini panties and struggling to keep a dozen other depraved women from removing her skimpy little cotton top while she giggled and cooed ooooof her loins rival those of nina hartley this movie came out when i was fourteen and that shot nearly killed me id forgotten about it all tucked away in the naughty roladex of my mind until seeing it the other day on tv where they actually blurred her midsection in that scene good grief reminding me what a smokin hottie of a woman goldie hawn was in the s kurt russell must have had a fun life,neutral
75,im studying catalan and was delighted to find el mar a movie with mostly catalan dialogue at my arthouse video storehmmm not so delighted to have seen ityes as other reviewers have said its wellmade and beautifully photographed although the opening sequence of the children is shockingly violent its wellacted and convincing for the most part that is would the mallorquins strip a corpse in preparation for burial right in the middle of the town square in full view of the dead mans yearold boy oh well minor detail up to this point it had something of the feel of a nonmagical pans labyrinth also set in the spanish civil warfastforward and the three children who survived the opening incident have come of age francisca is a nun working at a tuberculosis sanatorium and the two boys manuel and ramallo both are patients i know but hey coincidences happenthe problem as with so many spanish movies apologies to almodovar fans is that with one exception francisca the characters are just so dang weird their motivations personalities and dialogue are often simply incoherentwhats more it descends into some horrific wretched excess be prepared for lots of pain and lots of blood the reviewer who called it a potboiler is quite on track if it had been made years ago the poster wouldve said see forbidden love rape murder mutilation fanaticism animal cruelty betrayal the opening sequence is not nearly enough to make the personalities and relationships of the characters believable to work this should have had multiple flashbacks to flesh out the characters as it is it seems a bizarre and depressing cross between brother sun sister moon and pulp fiction if that sounds like something youve got to see by all means enjoy i think i go with something that doesnt make me feel i need to take a shower to wash off the gore and gloomas for the catalan its the mallorqui dialect fairly different than the barcelona dialect though i was surprised by the comment that said that even barcelonans apparently needed catalan subtitles to understand it,positive
76,i was excited to view a cataluas film in the berlins competition but after the presentation i was total disappointed and furious too much blood too much time too much themes for nothing the spanish civil war like every war was horrible the revenge a very human behavior not pretty at all is shown in uncountable films and plays as well as the relations between homosexuals and the scepticism in spain about catholicism but what mr villaronga try is a pseudo tragedy that can belongs to the worst of the films history it is really a pity to see angela molina in this movie i advise nobody under no circumstances to go to see this film,negative
77,this film was a major letdown the level of relentless cruelty and violence in this film was very disturbing some scenes were truly unnecessarily ugly and meanspirited the main characters were impossible to identify with or even sympathize with the lead protagonists character was as slimy as they come the sickroomhothouse atmosphere lent itself to overthetop theatrics little or nothing could be learned about the spanish civil war from this film fortunately ive been to spain and realize this is not realistic in addition the use of samesex attraction as a lurid horror was also very offensive and poorly handled while the dvd is being packaged and advertised to attract gay viewers the actors seemed uncomfortable in their rolesas if they were trying to distance themselves from this messi guess if you like watching children and pets being brutally killedthis film might especially appeal to you,negative
78,three part horror film with some guy in a boarded up house imploring the viewer not to go out there and unfortunately gives us three tales to prove whythe first story involves a young couple in a car accident who meet up with two psychos it leads up to two totally predictable twists still its quick about minutes violent wellacted and welldone predictable but enjoyablethe second involves a man on the run after stealing a large amount of money his car breaks down hes attacked by a dog and stumbles into a nearby clinic very obvious badly done and extremely slow even at minutes this is too long good acting thoughthe third is just barely a horror story it involves a beautiful lonely woman looking for mr right it has beautiful set designs a nice erotic feel and a nice sex scene but again predictable and not even remotely scaryit ends very stupidlyall in all the first one is worth watching but thats it tune in for that one then turn it off,neutral
79,a very cheesy and dull road movie with the intention to be hip and modern shown in the editing style and some weird camera angles resulting only in sleepiness the cast is wasted the writing is stupid and pretentious the only thing worthwhile is the topnotch lalo schifrins soundtrack really cool and also the opening sequence very original and interesting run if you can the bad opinions and comments about this flick are totally deserved it is really pure garbage of course that this has its charm of watching a movie which everybody would not drop the beer glass on if it were on fire but save it for a stormy day where you have absolutely nothing else to do,neutral
80,there are some nice shots in this film it catches some of the landscapes with such a beautiful light in fact the cinematography is probably its best assetbut its basically more of a made for tv movie and although it has a lot of twists and turns in the plot which keeps it quite interesting viewing there are no subtitles and key plot developments are unveiled in spanish so non spanish speakers will be left a little losti had it as a xmas gift as its a family trait to work through the films of a actor we find talented and matthew mconaughey was just awesome in a time to kill and the the newton boys so i expressed i wanted to see more of his workhowever although it says on the dvd box it is a matthew mconaughey film and uses this as a marketing ploy he has a few lines and is on screen for not very minutes at the end of the film he is basically an extra and he doesnt exactly light up the screen while he is on so die hard fans really not worth it from that point of viewthe films star though patrick mcgaw is great though and very easy on the eye and his character is just so nice and kind and caring a true saint of a guy hed be well written into a rom comso for true mcconaughey acting brilliance of the ones ive seen id recommend a time to kill the newton boys frailty how to lose a guy in days edtv and amistad and avoid too larger than life and angels in the outfield unless you feel like a kids film or have kids around as neither of these are indicative of his talent but are quite amusing films for children again mm is really nothing more that a supporting artist with just a few if any linesas for scorpion springits not a bad film but it also isnt screen stealing either,positive
81,when a man who doesnt have alzheimers cant remember how many films hes made he probably is the worlds most prolific director after all that man is jesus franco the king of socalled eurotrash his flick devil hunter is as rushed opaque stupid lazy and exploitative in the truest sense of the word the films title is misleading for starters as any other franco film ive seen that makes it sound pretty awful and it is yet franco does have some kind of inimitable sensibility a generous way with the baldly outrageous with nudity and sleaze and violence and even with his stupid cheap editing which tries to pave over the extreme haste with which all his films were made the mix of all these elements causes you to ride his films out even while youre mostly waiting for them to end because theyre so very tediousdevil hunter is nigh on incomprehensible for the first half an hour the kidnap by strangers of a white woman who seems to be a model or film star is intercut with a bunch of native action in south america theres lots of naked writhing dancing and endless repeated zoomins on an ugly totem pole you need to get used to the repetitive zoomins and the technique of cutting back to the same shot about three times in a row right away as these are francos main methods of extending a film out to feature lengththe monster who looks like the totem pole is actually kind of scary he has raw bug eyes and his presence is always signalled on the soundtrack by cacophonous groaning apparently recorded in an echo chamber early in the piece he chews on a native lady strapped to a tree and its hard to know what really happens here but i think he ate her stomach or her genitals sweet jesusanyway the adventure begins properly when a studly guy and his freaked out vietnam vet pal are sent to the island to recover the white girl from the kidnappers the flakey guy has an accent which as dubbed is half brooklynamerican half englishliverpudlian and all retarded all of the dialogue and dubbing is ridiculous and laughable making for another layer of the film which can somehow hold your interestnot too much really happens from here on in and it happens pretty sluggishly studded with the odd bit of outrage like a rape the nebulous action is fleshed out haha by acres of degree nudity from the natives and the two female leads and even from the monster himself that he walks around with his penis exposed makes wrestling him an unappetising prospect for the tough guy hero but its gotta be done at some point and its nice to note that the director will show anyones genitals on camerathe best feature of devil hunter is the location filming franco can be extremely cheap with the structural and story aspects of filmmaking but he doesnt muck around with sets you get real islands jungles helicopters and mountains all in widescreen this is something that is really cool to experience in these days of crappy cgi sets and backdrops ad nauseamultimately issues of recommendation where this film is concerned seem moot if youre trying to see all the video nasties you will have to watch this at some point and youll be made as restless as i was if you like franco youll watch this anyway if you fall into neither of the above categories the odds are youll never come across this film copies of it arent just lying around and i could hardly recommend the seeking out of it its franco lazy crazy franco,neutral
82,i have been looking for this film for ages because it is quite rare to find as it was one of the video nasties i finally found it on dvd at the end of last year it is a very low budget movie the story is set around amazon jungle tribes that are living in fear of the devil laura crawford is a model who is kidnapped by a gang of thugs while she is working in south america they take her into the jungle laura is guarded by some ridiculous native who calls himself the devil she has to go though all unpleasant things until they are happy maidens are chained up the devil demonstrates eating flesh in a horrible manner peter weston is the devil hunter who goes into the jungle to try and rescue her,neutral
83,as the number of video nasties ive yet to see dwindles this little pile of garbage popped up on my to rent list when i saw it was availablethe premise involves a fashion model or something being kidnapped and taken into the jungle to be held for ransom by a motley crew of idiots some other goof gets hired to bring her back and is given a sack of money to use as a bargaining chip though if he returns with the girl and all the money he gets a significant cut hes brought a helicopter and pilot with him and wow that pilot is one of the worst actors ever granted they are all totally terrible and the dubbing will make you cry blood after stealing away into the jungle we learn that nearby is a cannibal cult whose flesheating earthbound god wanders the woods like a human king kong looking for tribeswomen to ravage and devour now this fellow is just a naked guy with some of the worst makeup ever pingpong balls for eyes and thats pretty much it his growls and groans are an everpresent feature on the soundtrack and i found myself muting much of those scenesoh did i forget to mention the almost constant nudity this is probably the main reason this film was banned though there is one specific scene about one second long where the god attacks a girl and pulls her guts out but its not a redeeming factor for gore fans also jess franco goes beyond the usual t and a and shows lengthy closeups of female genitals and sadly male as well so if you want fair in terms of exploitation you got iti cant recommend this trash to anyone its not even the good bad movie its just atrociously padded trash that only a video nasty fan will probably view and even then if you are making your way through the list leave this for the very last if you watch it first you may get the notion that this is the norm for the list which is certainly not true,negative
84,not sure if im referring to those who labeled this a video nasty or to the directordevil hunter sure is one bizarre horror moviethe plot is a loosey goosey combo of superior films like cannibal ferox and cut and run chick gets kidnapped in the jungle by a tribe of savages the jungle looks more like a park somewhere in mexico the tribe is like a group of hippies who walk around in party citystyle halloween costume renditions of tribal garb and the savages range in race from white to asian to black to hispanic i suppose franco just grabbed anyone who looked even slightly ethnic for this rompto make matters worse this film has ultraminimal gore no real scares and a lot of unnecessary penis not fun i can find something to like in just about any sleazy italian or eurotrash film this one just fell way short out of kids,neutral
